ID	TIMESTAMP	DIA	MES	AÑO	ESTADO	Municipio	DE	PF	MIF	MAF	PFF	AFIF	PEF	PMF	PMUF	AMPF	DOF	CIF	PL	MIL	MAL	PFL	AFIFL	PEL	PML	PMUL	AMPL	DOL	CIL	ARL	ARC	CARG	CART	VE	AC	AP	DEL	TOR	DTRA	PRE	FCRU	ELE	TAX	DRO	VEH	VAL
33	1177909210	30	4	2007	19	48	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	0	1	0	0	103	0	0	0	0	0	0	0
34	1177995610	1	5	2007	16	13	9999	7	6	9999	9999	9999	9999	9999	9999	9999	1	9999	3	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	3	9999	9999	556	9999	0	0	0	0	104	0	0	0	0	0	0	0
35	1178254810	4	5	2007	16	102	9999	5	9999	9999	9999	9999	9999	9999	9999	9999	9999	5	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	1	0	0	0	0	107	0	1	0	0	0	1	0
36	1178254810	4	5	2007	16	102	9999	5	9999	9999	9999	9999	9999	9999	9999	9999	5	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	107	0	0	0	0	0	1	0
37	1178514010	7	5	2007	16	6	7	3	9999	9999	9999	9999	9999	9999	9999	9999	3	9999	3	9999	9999	9999	9999	9999	9999	9999	9999	3	9999	3	3	15	798	5	0	1	0	0	110	0	0	0	0	0	0	0
38	1178600410	8	5	2007	16	6	9999	4	9999	9999	9999	9999	9999	9999	9999	9999	4	9999	3	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	17	9999	15	486	9999	0	0	0	0	111	0	0	0	0	0	0	0
39	1178686810	9	5	2007	20	413	10	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	2	9999	9999	9999	1	0	0	0	0	112	0	0	0	0	0	0	0
40	1178773210	10	5	2007	28	41	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	0	0	0	0	113	0	0	0	0	0	1	0
41	1178859610	11	5	2007	8	5	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	0	0	0	0	114	0	1	0	0	0	0	0
42	1179032410	13	5	2007	25	15	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	116	0	1	0	0	0	0	0
