"","muncode","year","name1","name2","lastn1","lastn2","party_mixed","fed_party"
"9280",20152,"2012","LUIS","REY","CAMARILLO","GODINEZ","UYC",0
"9281",20152,"2013","HONORATO","JUAN "," CAMACHO"," ALVARADO","UYC",0
"9282",20153,"2006","HUGOLINO","CORTES","ROJAS"," ALVARADO","UYC",0
"9283",20153,"2007","HUGOLINO","CORTES","ROJAS"," ALVARADO","UYC",0
"9284",20153,"2008","FELIX","LEONIDES","SILVA","ALTAMIRANO","UYC",0
"9285",20153,"2009","FELIX","LEONIDES","SILVA","ALTAMIRANO","UYC",0
"9286",20153,"2010","FELIX","LEONIDES","SILVA","ALTAMIRANO","UYC",0
"9287",20153,"2011","FLORENCIO","CRUZ","SILVA","ALTAMIRANO","UYC",0
"9288",20153,"2012","FLORENCIO","CRUZ","SILVA","ALTAMIRANO","UYC",0
"9289",20153,"2013","JOSÉ",""," RAMÍREZ"," RAMÍREZ","UYC",0
"9290",20154,"2006","HILARIO","CRUZ","GARCIA"," RAMÍREZ","UYC",0
"9291",20154,"2007","HILARIO","CRUZ","GARCIA"," RAMÍREZ","UYC",0
"9292",20154,"2008","MOISES","LOPEZ","BRENA"," RAMÍREZ","UYC",0
"9293",20154,"2009","MOISES","LOPEZ","BRENA"," RAMÍREZ","UYC",0
"9294",20154,"2010","MOISES","LOPEZ","BRENA"," RAMÍREZ","UYC",0
"9295",20154,"2011","DOROTEO","GARCIA","SANCHEZ"," RAMÍREZ","UYC",0
"9296",20154,"2012","DOROTEO","GARCIA","SANCHEZ"," RAMÍREZ","UYC",0
"9297",20154,"2013","FLORENCIO",""," JIMÉNEZ"," RÍOS","UYC",0
"9298",20155,"2006","EDUARDO","ALFREDO","VASQUEZ","ORTIZ","UYC",0
"9299",20155,"2007","EDUARDO","ALFREDO","VASQUEZ","ORTIZ","UYC",0
"9300",20155,"2008","EDUARDO","ALFREDO","VASQUEZ","ORTIZ","UYC",0
"9301",20155,"2009","EDUARDO","ALFREDO","VASQUEZ","ORTIZ","UYC",0
"9302",20155,"2010","EDUARDO","ALFREDO","VASQUEZ","ORTIZ","UYC",0
"9303",20155,"2011","PEDRO","JULIAN","JUAREZ","MIJANGOS","UYC",0
"9304",20155,"2012","PEDRO","JULIAN","JUAREZ","MIJANGOS","UYC",0
"9305",20155,"2013","LUIS",""," GONZÁLEZ"," GONZÁLEZ","UYC",0
"9306",20156,"2006","JUSTINO","MANUEL","PEREZ","LUNA","UYC",0
"9307",20156,"2007","JUSTINO","MANUEL","PEREZ","LUNA","UYC",0
"9308",20156,"2008","RODOLFO","SANDOVAL","PACHECO","LUNA","UYC",0
"9309",20156,"2009","RODOLFO","SANDOVAL","PACHECO","LUNA","UYC",0
"9310",20156,"2010","RODOLFO","SANDOVAL","PACHECO","LUNA","UYC",0
"9311",20156,"2011","ROMEO","OROZCO","VELASCO","LUNA","UYC",0
"9312",20156,"2012","ROMEO","OROZCO","VELASCO","LUNA","UYC",0
"9313",20156,"2013","EFRAÍN","MANLIO "," SANDOVAL"," PÉREZ","UYC",0
"9314",20157,"2006","IGNACIO","HILARIO","CRUZ","LOPEZ","PRD",0
"9315",20157,"2007","IGNACIO","HILARIO","CRUZ","LOPEZ","PRD",0
"9316",20157,"2008","DOMINGO","EUSEBIO","ENRIQUEZ","TORRES","PRI",0
"9317",20157,"2009","DOMINGO","EUSEBIO","ENRIQUEZ","TORRES","PRI",0
"9318",20157,"2010","DOMINGO","EUSEBIO","ENRIQUEZ","TORRES","PRI",0
"9319",20157,"2011","TEODORO","JUAN","OLMEDO","LOPEZ","PRD",0
"9320",20157,"2012","TEODORO","JUAN","OLMEDO","LOPEZ","PRD",0
"9321",20157,"2013","TEODORO","JUAN","OLMEDO","LOPEZ","PRD",0
"9322",20158,"2006","PLACIDO","PEREZ","RUIZ"," HERNÁNDEZ","UYC",0
"9323",20158,"2007","PLACIDO","PEREZ","RUIZ"," HERNÁNDEZ","UYC",0
"9324",20158,"2008","PLACIDO","PEREZ","RUIZ"," HERNÁNDEZ","UYC",0
"9325",20158,"2009","PLACIDO","PEREZ","RUIZ"," HERNÁNDEZ","UYC",0
