"","muncode","longitud","km","AREA","sqkm","densidad","densidad_r"
"1853",24041,161618.282244268,161.618282244268,371088614.02832,371.08861402832,43.5524767224289,1657
"1854",24042,63615.6456104378,63.6156456104378,142009168.523193,142.009168523193,44.7968580282533,1675
"1855",24043,30859.976877296,30.859976877296,473953507.383301,473.953507383301,6.51118229880269,202
"1856",24044,230974.405334109,230.974405334109,2769346539.89722,2769.34653989722,8.34039373572516,283
"1857",24045,223186.792468727,223.186792468727,1287007434.64868,1287.00743464868,17.3415309391473,722
"1858",24046,164431.105094128,164.431105094128,869248181.325439,869.248181325439,18.9164738709492,808
"1859",24047,303445.13404231,303.44513404231,1891739103.81201,1891.73910381201,16.0405382238409,652
"1860",24048,65277.1459161121,65.2771459161121,142286790.438477,142.286790438477,45.8771652062368,1699
"1861",24049,461859.60988858,461.85960988858,2465416732.64771,2465.4167326477,18.7335310810749,795
"1862",24050,294151.015093298,294.151015093298,1009674024.66968,1009.67402466968,29.1332655794063,1219
"1863",24051,322164.616028135,322.164616028135,1480618727.5752,1480.6187275752,21.7587830025453,922
"1864",24052,224010.604017728,224.010604017728,633451781.738281,633.451781738281,35.3634815586139,1406
"1865",24053,124505.260821584,124.505260821584,189368445.351074,189.368445351074,65.7476279064136,2021
"1866",24054,179447.308633301,179.447308633301,394830996.111328,394.830996111328,45.4491441656478,1687
"1867",24055,180110.983221774,180.110983221774,607936796.098145,607.936796098145,29.6265967741648,1236
"1868",24056,129333.986935459,129.333986935459,580507934.316895,580.507934316895,22.2794520608321,942
"1869",24057,118107.658501298,118.107658501298,116055269.148438,116.055269148438,101.768458569714,2267
"1870",24058,227948.835718945,227.948835718945,812620101.124512,812.620101124512,28.0510948970505,1184
"1871",25001,798232.962829216,798.232962829216,3958640830.62671,3958.64083062671,20.1643189413283,863
"1872",25002,263016.154930916,263.016154930916,1885792806.62085,1885.79280662085,13.947245636291,551
"1873",25003,279705.257461358,279.705257461358,4789967105.20557,4789.96710520557,5.83939829476875,180
"1874",25004,389034.593762922,389.034593762922,2143745198.05298,2143.74519805298,18.1474269477667,763
"1875",25005,196972.32645095,196.97232645095,2149040857.64526,2149.04085764526,9.16559244326214,314
"1876",25006,1444641.45260114,1444.64145260114,6238983879.65942,6238.98387965942,23.1550758980324,985
"1877",25007,157763.59127805,157.76359127805,3189303549.72217,3189.30354972217,4.94664709139377,137
"1878",25008,399669.128118407,399.669128118407,1625625177.7959,1625.6251777959,24.5855645924664,1030
"1879",25009,253595.977046125,253.595977046125,1538058042.02246,1538.05804202246,16.4880628765258,680
"1880",25010,512248.921799292,512.248921799292,4133800263.07153,4133.80026307153,12.3917192220283,471
"1881",25011,755056.122720777,755.056122720777,2909757035.4519,2909.7570354519,25.9491123664733,1087
"1882",25012,665704.762478405,665.704762478405,2505102179.25659,2505.10217925659,26.573956463363,1113
"1883",25013,427345.088843468,427.345088843468,2772950377.79004,2772.95037779004,15.411205778015,627
"1884",25014,391111.748877051,391.111748877051,2606256993.36963,2606.25699336963,15.0066455407908,606
"1885",25015,144193.478867491,144.193478867491,765964011.842529,765.964011842529,18.825098390802,805
"1886",25016,280248.308028755,280.248308028756,5015316743.51001,5015.31674351001,5.58784863172214,170
"1887",25017,362968.884822568,362.968884822568,6268271350.14355,6268.27135014355,5.79057390063777,177
"1888",25018,544466.466262489,544.466466262489,2306317372.42188,2306.31737242188,23.6076124115885,995
"1889",26001,16986.9383748029,16.9869383748029,368583757.606445,368.583757606445,4.60870508378198,124
"1890",26002,225697.070033864,225.697070033864,3973425710.36108,3973.42571036108,5.68016332721002,173
"1891",26003,597258.292292296,597.258292292296,6377099843.88354,6377.09984388354,9.36567259277182,323
"1892",26004,71547.9113016803,71.5479113016803,4489661395.34644,4489.66139534644,1.59361486315739,22
"1893",26005,76931.140239667,76.931140239667,724716152.567627,724.716152567627,10.615347811292,393
"1894",26006,68631.8362773369,68.6318362773369,3083210457.67578,3083.21045767578,2.22598610180746,33
"1895",26007,13810.0671103678,13.8100671103678,302069619.137207,302.069619137207,4.57181597732771,121
"1896",26008,42446.4822668453,42.4464822668453,1067407291.83252,1067.40729183252,3.97659661795765,96
"1897",26009,80523.6043784431,80.5236043784431,1126537776.23242,1126.53777623242,7.14788319373942,235
"1898",26010,14602.1182351431,14.6021182351431,1348937127.05908,1348.93712705908,1.08249064706064,13
"1899",26011,51681.3735351525,51.6813735351525,1236854792.14697,1236.85479214697,4.17845117012016,105
"1900",26012,226568.114879115,226.568114879115,1574589026.55273,1574.58902655273,14.3890317446923,576
"1901",26013,23723.6744361231,23.7236744361231,809831851.177002,809.831851177002,2.92945682509812,59
"1902",26014,62033.4920109215,62.0334920109215,842921598.985352,842.921598985352,7.3593430380231,238
"1903",26015,69986.5525714933,69.9865525714933,1729523687.99439,1729.52368799438,4.04657959051443,100
"1904",26016,52183.4846329811,52.1834846329811,1415920378.10156,1415.92037810156,3.68548157368479,81
"1905",26017,613532.252473391,613.532252473391,10730765102.5073,10730.7651025073,5.71750706135608,174
"1906",26018,544692.957438979,544.692957438979,4850223421.66333,4850.22342166333,11.230265290587,417
"1907",26019,197705.16764132,197.70516764132,2330687867.86011,2330.68786786011,8.48269604727642,290
"1908",26020,159761.59914938,159.76159914938,2583964768.27002,2583.96476827002,6.1828087252266,189
"1909",26021,204018.697905679,204.018697905679,4111067854.57349,4111.06785457349,4.96266919259704,140
"1910",26022,52330.9621198252,52.3309621198252,1583654596.23096,1583.65459623096,3.30444291604818,68
"1911",26023,47567.2081129126,47.5672081129126,2014499633.20142,2014.49963320142,2.36124183538914,35
"1912",26024,14804.735153738,14.804735153738,385866728.314209,385.866728314209,3.83674830385547,87
"1913",26025,174139.376408518,174.139376408518,590307401.419678,590.307401419678,29.4997785881925,1231
"1914",26026,352540.533837281,352.540533837281,941794600.068848,941.794600068848,37.4328472271458,1486
"1915",26027,53996.9311801702,53.9969311801702,2631023606.29126,2631.02360629126,2.05231648439237,28
"1916",26028,93.5958375134,0.0935958375134,364250529.082275,364.250529082275,0.025695456846477,1
"1917",26029,603602.615711361,603.602615711361,7915661378.12207,7915.66137812207,7.62542239843213,253
"1918",26030,1434644.16731967,1434.64416731967,16926970225.5518,16926.9702255518,8.47549294530002,287
"1919",26031,53225.8221545956,53.2258221545956,1200482017.55249,1200.48201755249,4.43370424349304,115
"1920",26032,84574.5356998012,84.5745356998012,823250899.274658,823.250899274658,10.2732393944929,373
